scene_id,date,platform,product_type,instrument_mode,polarizations,orbit_state,bbox,center_lat,center_lon
S1A_IW_GRDH_1SDV_20180831T235605_20180831T235630_023497_028EE7_A29B_COG,2018-08-31 23:56:05.555955+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.376076, 21.996336, 91.142715, 23.929678]",22.963007,89.7593955
S1A_IW_GRDH_1SDV_20180831T235605_20180831T235630_023497_028EE7_B32E_COG,2018-08-31 23:56:05.555955+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.376076, 21.996336, 91.142715, 23.929678]",22.963007,89.7593955
S1A_IW_GRDH_1SDV_20180831T235630_20180831T235655_023497_028EE7_D61E_COG,2018-08-31 23:56:30.555854+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.084694, 20.48612, 90.822701, 22.423063]",21.4545915,89.4536975
S1A_IW_GRDH_1SDV_20180928T002012_20180928T002037_023891_029B95_DA9B_COG,2018-09-28 00:20:12.224135+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[82.628586, 24.123392, 85.43026, 26.04899]",25.086191,84.02942300000001
S1A_IW_GRDH_1SDV_20180928T124936_20180928T125001_023899_029BD6_F0DE_COG,2018-09-28 12:49:36.262450+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[79.828705, 7.499331, 82.377899, 9.460581]",8.479956,81.103302
S1A_IW_GRDH_1SDV_20180929T005846_20180929T005911_023906_029C11_FD08_COG,2018-09-29 00:58:46.583004+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[74.066872, 33.434624, 77.158417, 35.345043]",34.389833499999995,75.6126445
S1A_IW_GRDH_1SDV_20180929T115420_20180929T115445_023913_029C4B_F8D2_COG,2018-09-29 11:54:20.931048+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[92.476334, 16.008276, 95.161331, 17.959244]",16.98376,93.8188325
S1A_IW_GRDH_1SDV_20180929T115445_20180929T115510_023913_029C4B_980E_COG,2018-09-29 11:54:45.931670+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[92.162025, 17.519533, 94.868317, 19.46657]",18.4930515,93.515171
S1A_IW_GRDH_1SDV_20180929T115830_20180929T115855_023913_029C4B_D1A8_COG,2018-09-29 11:58:30.931273+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[89.303642, 31.114632, 92.316597, 33.029633]",32.072132499999995,90.8101195
S1A_IW_GRDH_1SDV_20180929T115855_20180929T115920_023913_029C4B_5B1E_COG,2018-09-29 11:58:55.931879+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.955963, 32.621376, 92.024811, 34.53286]",33.577118,90.490387
S1A_IW_GRDH_1SDV_20180930T000118_20180930T000143_023920_029C86_39DE_COG,2018-09-30 00:01:18.507869+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.361847, 32.959621, 91.42662, 34.867565]",33.913593,89.8942335
S1A_IW_GRDH_1SDV_20180930T000503_20180930T000532_023920_029C86_403D_COG,2018-09-30 00:05:03.507579+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[85.771149, 19.156437, 88.5317, 21.308372]",20.2324045,87.15142449999999
S1A_IW_GRDH_1SDV_20180930T123840_20180930T123905_023928_029CD0_18C4_COG,2018-09-30 12:38:40.244089+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[79.757072, 27.528904, 82.641983, 29.4526]",28.490752,81.19952749999999
S1A_IW_GRDH_1SDV_20181029T000918_20181029T000943_024343_02AA5D_8FB1_COG,2018-10-29 00:09:18.616672+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[86.499138, 33.799171, 89.566101, 35.701187]",34.750179,88.03261950000001
S1A_IW_GRDH_1SDV_20181029T124804_20181029T124829_024351_02AAA4_9BEE_COG,2018-10-29 12:48:04.320437+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[76.815514, 31.760715, 79.808922, 33.675205]",32.71796,78.312218
S1A_IW_GRDH_1SDV_20181029T124854_20181029T124919_024351_02AAA4_7382_COG,2018-10-29 12:48:54.321283+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[76.106369, 34.774418, 79.228966, 36.680267]",35.7273425,77.6676675
S1A_IW_GRDH_1SDV_20181029T124919_20181029T124944_024351_02AAA4_0FBD_COG,2018-10-29 12:49:19.321693+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[75.716736, 36.279552, 78.931999, 38.178822]",37.229187,77.3243675
S1A_IW_GRDH_1SDV_20181030T005115_20181030T005140_024358_02AAD3_E8F3_COG,2018-10-30 00:51:15.731772+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[75.654655, 30.866695, 78.612816, 32.788601]",31.827648,77.1337355
S1A_IW_GRDH_1SDV_20181030T114614_20181030T114639_024365_02AB08_BD88_COG,2018-10-30 11:46:14.015697+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[94.454903, 16.401489, 97.140205, 18.351833]",17.376661,95.797554
S1A_IW_GRDH_1SDV_20181030T114754_20181030T114819_024365_02AB08_1AE6_COG,2018-10-30 11:47:54.016267+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.200653, 22.446604, 95.987846, 24.381979]",23.4142915,94.5942495
S1A_IW_GRDH_1SDV_20181030T114909_20181030T114934_024365_02AB08_127F_COG,2018-10-30 11:49:09.016663+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[92.281708, 26.973471, 95.111732, 28.907797]",27.940634,93.69672
S1A_IW_GRDH_1SDV_20181030T115139_20181030T115204_024365_02AB08_6BDD_COG,2018-10-30 11:51:39.016064+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[90.181213, 36.023346, 93.407288, 37.925217]",36.9742815,91.7942505
S1A_IW_GRDH_1SDV_20181030T132851_20181030T132916_024366_02AB11_9447_COG,2018-10-30 13:28:51.107591+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[66.775536, 30.441105, 69.755165, 32.353592]",31.3973485,68.26535050000001
S1A_IW_GRDH_1SDV_20181030T235451_20181030T235516_024372_02AB43_8A87_COG,2018-10-30 23:54:51.642860+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[89.249695, 26.524731, 92.041969, 28.459154]",27.4919425,90.645832
S1A_IW_GRDH_1SDV_20181030T235541_20181030T235606_024372_02AB43_0CD9_COG,2018-10-30 23:55:41.641884+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[88.668152, 23.506264, 91.463524, 25.436646]",24.471455,90.06583800000001
